sep=;
Execution Time;Execution Time UTC;ISIN;Publication Time;Publication Time UTC;CCY;Venue of execution (MIC Code);Venue of publication (MIC Code);Price notation;Transaction to be cleared;MMT Flags;Transaction ID Code;Price;Volume;Buyer;Seller;Trade type
2022-04-05 17:29:57;2022-04-05T15:29:57.930000Z;SE0015811963;2022-04-05 17:29:57;2022-04-05T15:29:57.937000Z;SEK;XSTO;XSTO;MonetaryAmount;N;1K-------P----;001064197;210.300;2027;;;
2022-04-05 17:29:57;2022-04-05T15:29:57.930000Z;SE0015811963;2022-04-05 17:29:57;2022-04-05T15:29:57.937000Z;SEK;XSTO;XSTO;MonetaryAmount;N;1K-------PH---;001064196;210.300;8;;;
2022-04-05 17:29:57;2022-04-05T15:29:57.930000Z;SE0015811963;2022-04-05 17:29:57;2022-04-05T15:29:57.937000Z;SEK;XSTO;XSTO;MonetaryAmount;N;1K-------P----;001064195;210.300;3226;;;
2022-04-05 17:29:57;2022-04-05T15:29:57.930000Z;SE0015811963;2022-04-05 17:29:57;2022-04-05T15:29:57.937000Z;SEK;XSTO;XSTO;MonetaryAmount;N;1K-------PH---;001064194;210.300;1077;;;
2022-04-05 17:29:57;2022-04-05T15:29:57.930000Z;SE0015811963;2022-04-05 17:29:57;2022-04-05T15:29:57.937000Z;SEK;XSTO;XSTO;MonetaryAmount;N;1K-------PH---;001064193;210.300;3687;;;
2022-04-05 17:29:57;2022-04-05T15:29:57.930000Z;SE0015811963;2022-04-05 17:29:57;2022-04-05T15:29:57.937000Z;SEK;XSTO;XSTO;MonetaryAmount;N;1K-------PH---;001064192;210.300;8072;;;
2022-04-05 17:29:57;2022-04-05T15:29:57.930000Z;SE0015811963;2022-04-05 17:29:57;2022-04-05T15:29:57.937000Z;SEK;XSTO;XSTO;MonetaryAmount;N;1K-------PH---;001064191;210.300;28196;;;
2022-04-05 17:29:57;2022-04-05T15:29:57.930000Z;SE0015811963;2022-04-05 17:29:57;2022-04-05T15:29:57.937000Z;SEK;XSTO;XSTO;MonetaryAmount;N;1K-------PH---;001064190;210.300;179;;;
2022-04-05 17:29:57;2022-04-05T15:29:57.930000Z;SE0015811963;2022-04-05 17:29:57;2022-04-05T15:29:57.937000Z;SEK;XSTO;XSTO;MonetaryAmount;N;1K-------PH---;001064189;210.300;3121;;;
2022-04-05 17:29:57;2022-04-05T15:29:57.930000Z;SE0015811963;2022-04-05 17:29:57;2022-04-05T15:29:57.937000Z;SEK;XSTO;XSTO;MonetaryAmount;N;1K-------PH---;001064188;210.300;2169;;;
2022-04-05 17:29:57;2022-04-05T15:29:57.930000Z;SE0015811963;2022-04-05 17:29:57;2022-04-05T15:29:57.937000Z;SEK;XSTO;XSTO;MonetaryAmount;N;1K-------PH---;001064187;210.300;1624;;;
2022-04-05 17:29:57;2022-04-05T15:29:57.930000Z;SE0015811963;2022-04-05 17:29:57;2022-04-05T15:29:57.937000Z;SEK;XSTO;XSTO;MonetaryAmount;N;1K-------PH---;001064186;210.300;613;;;
2022-04-05 17:29:57;2022-04-05T15:29:57.930000Z;SE0015811963;2022-04-05 17:29:57;2022-04-05T15:29:57.937000Z;SEK;XSTO;XSTO;MonetaryAmount;N;1K-------PH---;001064185;210.300;14708;;;
2022-04-05 17:29:57;2022-04-05T15:29:57.930000Z;SE0015811963;2022-04-05 17:29:57;2022-04-05T15:29:57.937000Z;SEK;XSTO;XSTO;MonetaryAmount;N;1K-------P----;001064184;210.300;5941;;;
2022-04-05 17:29:57;2022-04-05T15:29:57.930000Z;SE0015811963;2022-04-05 17:29:57;2022-04-05T15:29:57.937000Z;SEK;XSTO;XSTO;MonetaryAmount;N;1K-------P----;001064183;210.300;34740;;;
2022-04-05 17:29:57;2022-04-05T15:29:57.930000Z;SE0015811963;2022-04-05 17:29:57;2022-04-05T15:29:57.937000Z;SEK;XSTO;XSTO;MonetaryAmount;N;1K-------PH---;001064182;210.300;135;;;
2022-04-05 17:29:57;2022-04-05T15:29:57.930000Z;SE0015811963;2022-04-05 17:29:57;2022-04-05T15:29:57.937000Z;SEK;XSTO;XSTO;MonetaryAmount;N;1K-------PH---;001064181;210.300;6466;;;
2022-04-05 17:29:57;2022-04-05T15:29:57.930000Z;SE0015811963;2022-04-05 17:29:57;2022-04-05T15:29:57.937000Z;SEK;XSTO;XSTO;MonetaryAmount;N;1K-------PH---;001064180;210.300;10;;;
2022-04-05 17:29:57;2022-04-05T15:29:57.930000Z;SE0015811963;2022-04-05 17:29:57;2022-04-05T15:29:57.937000Z;SEK;XSTO;XSTO;MonetaryAmount;N;1K-------P----;001064179;210.300;6655;;;
2022-04-05 17:29:57;2022-04-05T15:29:57.930000Z;SE0015811963;2022-04-05 17:29:57;2022-04-05T15:29:57.937000Z;SEK;XSTO;XSTO;MonetaryAmount;N;1K-------PH---;001064178;210.300;134;;;
2022-04-05 17:29:57;2022-04-05T15:29:57.930000Z;SE0015811963;2022-04-05 17:29:57;2022-04-05T15:29:57.937000Z;SEK;XSTO;XSTO;MonetaryAmount;N;1K-------PH---;001064177;210.300;180;;;
